iter	Passed	Remaining
0	141	141297
1	142	71108
2	143	47694
3	144	35944
4	145	28911
5	146	24206
6	146	20842
7	148	18359
8	149	16418
9	150	14856
10	152	13667
11	153	12598
12	153	11681
13	154	10894
14	155	10213
15	156	9616
16	157	9093
17	158	8626
18	159	8212
19	159	7839
20	160	7502
21	162	7205
22	163	6928
23	164	6680
24	165	6452
25	166	6241
26	167	6038
27	168	5849
28	169	5672
29	170	5509
30	171	5353
31	172	5207
32	172	5068
33	173	4938
34	174	4821
35	175	4705
36	176	4601
37	177	4499
38	178	4402
39	179	4310
40	180	4222
41	181	4137
42	182	4056
43	183	3979
44	184	3908
45	185	3840
46	186	3773
47	187	3710
48	188	3648
49	188	3588
50	189	3534
51	190	3481
52	191	3429
53	192	3378
54	193	3329
55	194	3281
56	195	3235
57	196	3190
58	197	3146
59	198	3104
60	198	3062
61	199	3022
62	200	2983
63	201	2945
64	202	2909
65	203	2882
66	204	2852
67	205	2821
68	206	2789
69	207	2759
70	208	2729
71	209	2700
72	210	2670
73	211	2642
74	211	2613
75	212	2586
76	213	2559
77	214	2533
78	215	2507
79	215	2482
80	216	2458
81	217	2435
82	217	2408
83	218	2387
84	220	2368
85	220	2347
86	221	2327
87	222	2308
88	223	2288
89	224	2269
90	225	2250
91	226	2230
92	226	2211
93	227	2193
94	228	2174
95	229	2157
96	229	2140
97	230	2124
98	231	2109
99	232	2094
100	233	2078
101	234	2064
102	235	2051
103	236	2037
104	237	2022
105	238	2008
106	239	1995
107	239	1981
108	240	1967
109	241	1954
110	242	1940
111	243	1927
112	243	1914
113	244	1901
114	245	1888
115	246	1877
116	247	1864
117	247	1852
118	248	1842
119	249	1832
120	250	1822
121	251	1810
122	252	1800
123	253	1790
124	254	1780
125	255	1769
126	255	1758
127	256	1748
128	257	1738
129	258	1729
130	259	1719
131	260	1709
132	260	1700
133	261	1691
134	262	1682
135	263	1672
136	264	1668
137	265	1661
138	266	1653
139	267	1644
140	268	1635
141	269	1625
142	269	1617
143	270	1608
144	271	1600
145	272	1592
146	273	1584
147	273	1575
148	274	1569
149	275	1562
150	276	1554
151	277	1547
152	278	1540
153	279	1533
154	280	1527
155	281	1520
156	282	1515
157	283	1509
158	284	1502
159	285	1496
160	285	1488
161	286	1482
162	287	1476
163	288	1470
164	289	1463
165	289	1456
166	290	1450
167	291	1444
168	292	1438
169	293	1432
170	294	1427
171	295	1422
172	296	1417
173	297	1411
174	298	1406
175	299	1400
176	300	1395
177	300	1389
178	301	1383
179	302	1379
180	303	1373
181	304	1368
182	305	1362
183	306	1357
184	307	1352
185	307	1347
186	308	1343
187	309	1338
188	310	1334
189	311	1329
190	312	1324
191	313	1319
192	314	1314
193	315	1309
194	316	1304
195	316	1300
196	317	1295
197	318	1290
198	319	1285
199	320	1281
200	321	1276
201	321	1272
202	322	1267
203	323	1263
204	324	1260
205	325	1255
206	326	1251
207	327	1247
208	328	1243
209	329	1239
210	330	1234
211	330	1230
212	331	1226
213	332	1221
214	333	1217
215	334	1213
216	334	1208
217	335	1204
218	336	1199
219	337	1195
220	338	1192
221	339	1188
222	340	1185
223	341	1181
224	342	1178
225	343	1174
226	343	1170
227	344	1166
228	345	1163
229	346	1159
230	347	1156
231	348	1152
232	349	1149
233	349	1145
234	350	1141
235	351	1137
236	352	1133
237	352	1129
238	353	1126
239	354	1124
240	355	1120
241	357	1118
242	358	1115
243	358	1111
244	359	1108
245	360	1105
246	361	1101
